A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
1	#	1	1	1	#	1	0.23857098498326276	0.7507987220447284	3	200.0437658884652	9999	0	0.6666666666666666	600.1312976653956	470	626
#	#	1	1	#	#	1	0.23777986693823797	0.7503001200480192	4	182.50146720689094	9999	2	0.3333333333333333	730.0058688275637	1875	2499
#	#	1	#	#	1	1	0.23777986693823797	0.7503001200480192	6	180.87652377626608	9999	3	0.3333333333333333	15299.419340306556	1875	2499
#	#	#	1	#	#	1	0.09559671691292788	0.6253002401921537	1	167.78588076201154	9999	8	0.16666666666666666	167.78588076201154	3124	4996
#	#	0	0	0	#	0	0.5126152069235291	0.8748997594226142	9	195.18377595161314	9995	18	0.5	1756.6539835645183	1091	1247
#	#	1	#	0	#	0	0.03125	0.5	1	148.72547269560656	9971	24	0.3333333333333333	2658.8917755735756	1247	2494
#	0	#	1	0	#	0	0.2373046875	0.75	4	146.43353078528799	9917	28	0.5	585.7341231411519	936	1248
#	#	#	0	1	1	1	0.09552060769583587	0.6252006420545746	1	143.99854991503966	9974	41	0.5	143.99854991503966	779	1246
#	#	1	#	#	#	1	0.0956359424598341	0.6253515468059462	5	180.64686815595724	9999	47	0.16666666666666666	26382.419869004058	3113	4978
#	#	1	#	#	0	0	0.030937127071080466	0.498994772818657	1	159.71375001797637	9971	51	0.3333333333333333	2884.215126166716	1241	2487
#	0	#	1	0	0	0	0.2373046875	0.75	1	149.40078869026692	9917	61	0.6666666666666666	149.40078869026692	465	620
#	1	0	#	0	0	0	0.2373046875	0.75	1	187.29033315204722	9995	76	0.6666666666666666	187.29033315204722	465	620
#	0	#	#	1	#	1	0.2373046875	0.75	5	158.25148551445102	9984	95	0.3333333333333333	9314.226861556966	1857	2476
1	#	0	#	#	1	1	0.2379463980161281	0.7504051863857374	4	146.5776272011773	9974	109	0.5	586.3105088047092	926	1234
0	#	#	1	#	#	1	0.2379463980161281	0.7504051863857374	9	154.73574052072186	9989	123	0.3333333333333333	29428.074447747094	1852	2468
#	#	#	#	1	#	1	0.09540609515736337	0.6250506688285367	3	167.38861618755442	9999	132	0.16666666666666666	8821.808616167309	3084	4934
#	#	0	#	0	#	0	0.23746518031673167	0.7501014198782961	7	181.41143804960893	9995	139	0.3333333333333333	20913.471686446104	1849	2465
1	#	#	1	#	1	1	0.2376266748169234	0.7502034174125305	4	177.9117688474617	9999	165	0.5	711.6470753898468	922	1229
#	#	#	1	#	1	1	0.23762719993878578	0.7502037489812551	6	183.41386488118465	9999	175	0.3333333333333333	15524.007254454747	1841	2454
1	0	1	#	#	#	0	0.03099634874496459	0.499185667752443	1	166.10982189863518	9968	176	0.5	2993.988297190719	613	1228
#	0	1	#	0	1	0	0.031505726949811914	0.5008156606851549	1	136.44020345009642	9968	176	0.6666666666666666	2419.45850410141	307	613
#	0	0	#	0	#	0	1.0	1.0	26	176.91821340551485	9980	188	0.5	66816.6296717386	1226	1226
#	0	#	#	0	#	0	0.2376277267762647	0.7502040816326531	6	165.46180439139755	9980	189	0.3333333333333333	14004.527730421141	1838	2450
#	1	0	0	0	#	0	0.23795058991439386	0.7504078303425775	2	185.25230506850681	9995	203	0.6666666666666666	370.50461013701363	460	613
#	#	0	#	#	#	0	0.09505567175185528	0.6245908346972177	1	164.0530086769188	9995	220	0.16666666666666666	164.0530086769188	3053	4888
1	0	#	#	0	#	0	1.0	1.0	24	148.00740139046698	9968	228	0.5	47628.97567357733	1219	1219
